Drama Name,Episode No#,URL,Sentence No,Start Time,End Time,Urdu Sentence,English Sentence
kitni girhein baqi hein,1,https://www.youtube.com/watch?v=WxsFakLoSNA,1,00:00:07.160,00:00:18.000,[موسیقی],[Music]
kitni girhein baqi hein,1,https://www.youtube.com/watch?v=WxsFakLoSNA,2,00:00:18.000,00:00:20.760,دیگر,Other
kitni girhein baqi hein,1,https://www.youtube.com/watch?v=WxsFakLoSNA,3,00:00:20.760,00:00:29.400,بیٹا,son
kitni girhein baqi hein,1,https://www.youtube.com/watch?v=WxsFakLoSNA,4,00:00:29.400,00:00:51.160,[موسیقی],[Music]
kitni girhein baqi hein,1,https://www.youtube.com/watch?v=WxsFakLoSNA,5,00:00:51.160,00:01:10.980,[موسیقی],[Music]
kitni girhein baqi hein,1,https://www.youtube.com/watch?v=WxsFakLoSNA,6,00:01:10.980,00:01:16.980,[تعریف],[Praise]
kitni girhein baqi hein,1,https://www.youtube.com/watch?v=WxsFakLoSNA,7,00:01:16.980,00:01:22.020,احمد جلدی سے بنا، بس چلے گی۔,"Ahmed made it soon, it will go"
kitni girhein baqi hein,1,https://www.youtube.com/watch?v=WxsFakLoSNA,8,00:01:22.020,00:01:34.440,[موسیقی],[Music]
kitni girhein baqi hein,1,https://www.youtube.com/watch?v=WxsFakLoSNA,9,00:01:34.440,00:01:37.220,صبح بخیر,"Good morning,"
kitni girhein baqi hein,1,https://www.youtube.com/watch?v=WxsFakLoSNA,10,00:01:37.220,00:01:40.610,تم دونوں رات کو کیسی محنت کر رہے ہو؟,how are you both? Study hard at night [Music] We have to
kitni girhein baqi hein,1,https://www.youtube.com/watch?v=WxsFakLoSNA,11,00:01:48.440,00:01:54.200,آپ کو بھی ایک پوزیشن لینے کی ضرورت ہے۔,get a position also [Music]
kitni girhein baqi hein,1,https://www.youtube.com/watch?v=WxsFakLoSNA,12,00:02:03.940,00:02:22.100,[موسیقی],[Music]
kitni girhein baqi hein,1,https://www.youtube.com/watch?v=WxsFakLoSNA,13,00:02:22.100,00:02:23.470,کچھ بتاؤ,Tell me something
kitni girhein baqi hein,1,https://www.youtube.com/watch?v=WxsFakLoSNA,14,00:02:23.470,00:02:35.540,[موسیقی],[Music]
kitni girhein baqi hein,1,https://www.youtube.com/watch?v=WxsFakLoSNA,15,00:02:35.540,00:02:38.100,جب تک کہ آپ کے فائنل امتحانات نہ ہوں۔,"Until your final exams are over, no"
kitni girhein baqi hein,1,https://www.youtube.com/watch?v=WxsFakLoSNA,16,00:02:38.100,00:02:41.460,اگر ایسا ہوا تو نہ کوئی کہانی سنائی جائے گی اور نہ کوئی,story will be sent and no one's
kitni girhein baqi hein,1,https://www.youtube.com/watch?v=WxsFakLoSNA,17,00:02:41.460,00:02:45.060,خواہش پوری ہو جائے گی,wish will be fulfilled The
