Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence,Start Time,End Time
Duniyapur,00:00:29.400,ویسے,1.0,"By the way,",3.0,,,,,,,,,,
Duniyapur,,,,,,,,,https://www.youtube.com/watch?v=t-afjSfQslM,1.0,00:01:12.400,ارے، اٹھو، پہلے ہی۔,"Hey, wake up, already.",,
Duniyapur,,,,,,,,,https://www.youtube.com/watch?v=t-afjSfQslM,2.0,00:01:13.880,میں تمہیں اتنی دیر سے جگا رہا ہوں۔,I have been waking you up for so long.,,
Duniyapur,,,,,,,,,https://www.youtube.com/watch?v=t-afjSfQslM,3.0,00:01:16.600,کیا آپ پر جانے سے پہلے بھنگ پر زیادہ ہو گئے تھے,Did you get high on Cannabis,,
Duniyapur,,,,,,,,,https://www.youtube.com/watch?v=t-afjSfQslM,4.0,00:01:18.160,دنیا پور کے لیے بارڈر آ رہا ہے۔,The border for Duniyapur is coming up.,,
Duniyapur,,,,,,,,,https://www.youtube.com/watch?v=t-afjSfQslM,5.0,00:01:20.480,یہ لو۔,Here you go.,,
Duniyapur,,,,,,,,,https://www.youtube.com/watch?v=t-afjSfQslM,6.0,00:01:33.400,ہمم؟,Hmm?,,
Duniyapur,,,,,,,,,https://www.youtube.com/watch?v=t-afjSfQslM,7.0,00:01:37.000,میں نے بس میں سوار ہوتے ہی کرایہ ادا کر دیا۔  کیا,I paid the fare when I got on the bus.,,
Duniyapur,,,,,,,,,https://www.youtube.com/watch?v=t-afjSfQslM,8.0,00:01:39.800,آپ نئے ہیں؟  بس میں سوار ہونے,Are you new?,,
Duniyapur,,,,,,,,,https://www.youtube.com/watch?v=t-afjSfQslM,9.0,00:01:42.320,پر آپ نے جو رقم ادا کی وہ,The money you paid when you,,
Duniyapur,,,,,,,,,https://www.youtube.com/watch?v=t-afjSfQslM,10.0,00:01:45.520,اب ہم دنیا پور کی سرحد کے قریب پہنچ رہے ہیں,"Now, we are approaching",,
Duniyapur,,,,,,,,,https://www.youtube.com/watch?v=t-afjSfQslM,11.0,00:01:47.520,جس پر,which will cost an additional,,
Duniyapur,,,,,,,,,https://www.youtube.com/watch?v=t-afjSfQslM,12.0,00:01:49.520,میں وہاں سے آگے نہیں جانا چاہتا۔,I don’t want to go further from there.,,
